AppraisedValue,lat,long,SqFtLot
708000.0,0.04861516813998275,0.22062726804241745,0.11612714811327537
297000.0,0.12636874141645565,-0.14346385914111764,-0.011582685064582852
523000.0,-0.014736543770059996,-0.17497986148684172,-0.01133139151571729
288000.0,-0.03865945261649397,0.07037759235425436,-0.009360269434859606
319000.0,-0.17278131806949348,0.013183200727719443,0.6560993709824592
523000.0,0.12456603703032053,-0.04405561717784806,-0.0047744686236104806
482000.0,0.1246253581984141,0.04781792786151363,0.001093542197947809
228000.0,0.15149455172713377,-0.1319130265926651,-0.012379469487815124
387000.0,-0.1976632524668728,0.03222430392108038,-0.0007525460195718869
405000.0,0.07548765728915242,-0.06653531436833017,-0.009166589528904683
590000.0,0.04622584331374434,0.24228952169868365,0.012116135326724108
218000.0,-0.16414679249053535,0.04963052004604262,-0.008100124223963027
278000.0,-0.021746328467175998,-0.13991864207433483,-0.006564169020409123
354000.0,-0.03268778836112293,0.0630650268254928,-0.002424567486170071
206000.0,-0.04843096725069658,-0.1150665815835133,0.005544502568342242
563000.0,0.11613254429880529,-0.18034655599399313,-0.006489393866844249
394000.0,0.18144185475613853,-0.05949819176957055,-0.0025986342370915828
334000.0,-0.043757777452619245,0.07873861806816812,-0.0027016033010169842
493000.0,0.0794094456246334,-0.16923110098002672,-0.005682802866095271
280000.0,-0.15337670485998758,0.01030437784640869,0.007912791038626472
358000.0,0.17581623064801583,-0.10044145052599016,-0.004797759245212654
683000.0,0.10049900915678052,0.0791466977367202,-0.005076020882249156
351000.0,0.00037058037266673495,-0.03847567653135685,-0.0069429480769918495
201000.0,-0.03470141245606317,-0.027449074075472143,-0.0076698606354176
364000.0,-0.2015685627000977,-0.18711712091854074,0.03508313987084696
339000.0,0.015856700867141627,-0.08345284142395065,-0.01025266798887975
478000.0,0.03306964928079621,0.05279439899331567,-0.0026807643237939864
865000.0,0.012791773848656492,-0.044046731922041546,-0.0062711975170975645
228000.0,0.15149455172713377,-0.1319130265926651,-0.012144111627414206
345000.0,0.11701247495895102,-0.11580405781547057,-0.012093852917641094
793000.0,0.12222614651082574,0.07495349909460942,-0.005094408215092978
424000.0,0.14250080351912742,-0.009314266974375702,0.0013779329459322508
207000.0,-0.20435006635989036,-0.03247812886195944,0.004761202189195439
238000.0,0.0030235548349100065,-0.08345284142395065,-0.008541420212214747
500000.0,0.012096397933709865,-0.1936211281689095,-0.010061439727304005
